"","vidid","adview","views","likes","dislikes","comment","category","time_in_sec","no_days_old"
"1","VID_18655",40,"1031602","8523","363","1095","F",457,556
"2","VID_14135",2,"1707","56","2","6","D",570,539
"3","VID_2187",1,"2023","25","0","2","C",136,630
"4","VID_23096",6,"620860","777","161","153","H",262,605
"5","VID_10175",1,"666","1","0","0","D",31,633
"6","VID_10756",4,"78","0","0","0","D",15,684
"7","VID_9782",40621,"43118","15","1","0","D",200,946
"8","VID_16452",1,"14205","55","16","1","E",58,600
"9","VID_18486",1,"526015","3064","211","2582","F",1670,869
"10","VID_681",1,"406992","3831","310","7839","B",679,537
"11","VID_10116",19,"607447","377","144","65","D",745,593
"12","VID_1763",9,"429137","2181","76","172","B",228,NA
"13","VID_1979",224,"1895","59","5","0","B",254,587
"14","VID_9313",1,"59843","68","16","10","D",8608,776
"15","VID_18397",2,"211642","1378","65","103","F",170,1086
"16","VID_1025",1,"3700","29","6","3","B",37,1641
"17","VID_19903",2,"2303","4","0","0","G",26,2730
"18","VID_10866",4794,"5886","23","0","4","D",312,505
"19","VID_22884",107,"9477","66","0","0","G",22,1006
"20","VID_22583",53702,"115426","83","10","2","G",196,925
"21","VID_11702",2,"62255","71","10","1","D",761,1027
"22","VID_8074",1,"15353","13","6","9","D",101,598
"23","VID_11952",1,"236589","1730","38","140","D",325,947
"24","VID_8520",2,"94719","192","11","23","D",41,600
"25","VID_13368",14,"3089826","7493","1148","330","D",798,701
"26","VID_19981",3,"2046444","3910","845","247","G",362,830
"27","VID_1123",3,"2103487","13342","734","650","B",659,1331
"28","VID_5128",3,"740683","935","68","57","D",98,1649
"29","VID_1403",1,"805979","2036","183","215","B",131,1097
"30","VID_11724",1,"229495","372","50","44","D",8552,1394
"31","VID_12811",1,"2758","2","0","1","D",167,1621
"32","VID_12465",1,"24672","313","10","128","D",665,1643
"33","VID_13546",2,"2000406","14974","686","1297","D",537,756
"34","VID_17293",4,"163161","617","25","51","E",228,638
"35","VID_11660",6,"422797","1226","122","117","D",803,589
"36","VID_1930",1,"157479","944","40","52","B",69,1085
"37","VID_9221",1,"109","0","1","0","D",473,1423
"38","VID_22271",53,"3258674","9193","290","823","G",4226,991
"39","VID_18942",2,"17128","33","4","4","F",99,2373
"40","VID_3606",1,"136151","155","13","14","D",629,593
"41","VID_154",1,"1034","5","0","0","A",261,753
"42","VID_7305",1,"513871","743","214","45","D",676,1011
"43","VID_15177",4,"178089","1259","24","124","E",823,652
"44","VID_3434",17,"553420","818","167","59","D",3457,1650
"45","VID_14698",2,"623004","531","182","76","D",75,1844
"46","VID_16192",1,"172599","162","61","35","E",5549,1048
"47","VID_22905",1,"793069","2638","163","135","G",866,987
"48","VID_10262",4,"462","1","0","0","D",31,550
"49","VID_8149",1,"15882","102","1","41","D",806,2649
"50","VID_3717",1,"797861","2117","225","170","D",1704,965
"51","VID_19569",1,"5503","6","2","1","G",246,1741
"52","VID_14230",1,"19213","78","5","0","D",148,568
"53","VID_3128",4,"165497","215","62","153","D",2315,1890
"54","VID_7603",1,"212195","561","61","192","D",622,673
"55","VID_10211",4,"805","6","0","0","D",20,658
"56","VID_6754",5,"89443","84","26","4","D",713,1433
"57","VID_20229",2,"56573","228","5","16","G",153,1659
"58","VID_11412",61,"367301","204","80","4","D",328,1197
"59","VID_19057",1619,"1389401","13224","831","522","F",136,1619
"60","VID_20348",1,"7702","23","0","1","G",140,1225
"61","VID_13329",1,"101581","314","11","4","D",47,845
"62","VID_11822",182,"581","7","0","1","D",86,1518
"63","VID_1860",5,"1515742","14551","514","5752","B",353,745
"64","VID_9046",36,"11991184","48324","5808","5167","D",2664,1289
"65","VID_5013",3,"1275680","4743","932","184","D",275,743
"66","VID_18520",3,"127821","1127","80","466","F",711,621
"67","VID_22196",1,"7779","59","0","7","G",261,637
"68","VID_5300",11,"415699","251","49","23","D",89,2140
"69","VID_2409",1,"162390","1031","34","33","C",1241,919
"70","VID_4218",7,"683587","1172","122","85","D",1180,1761
"71","VID_16862",2,"38570","55","6","11","E",663,2475
"72","VID_20426",2,"503532","1872","50","85","G",267,2195
"73","VID_6516",1,"52039","240","16","145","D",602,634
"74","VID_2684",16,"5863262","10238","2541","611","C",167,946
"75","VID_14599",3,"981761","2414","267","217","D",257,677
"76","VID_22976",1,"31339","142","11","16","G",165,3083
"77","VID_12597",1,"18222","51","6","30","D",258,1497
"78","VID_4757",1,"21772","37","3","3","D",8402,764
"79","VID_8776",4,"15345","9","8","0","D",266,1572
"80","VID_12099",1,"81993","882","21","227","D",359,1917
"81","VID_9658",3,"293365","126","36","7","D",219,2257
"82","VID_14702",1,"1939","36","0","16","D",379,1241
"83","VID_9950",1,"23692","178","6","19","D",264,986
"84","VID_20556",2,"970875","4982","235","256","G",344,1132
"85","VID_20379",2,"11703","217","13","6","G",336,547
"86","VID_10035",1,"167645","154","52","81","D",54,708
"87","VID_11154",1,"7759","34","4","18","D",796,1594
"88","VID_14269",2,"775","7","0","1","D",511,577
"89","VID_3765",69,"3423094","1195","624","26","D",163,2030
"90","VID_20711",5,"21512","203","12","61","G",569,1761
"91","VID_10111",1,"123061","140","42","20","D",601,542
"92","VID_244",2,"25680","20","6","1","A",215,2031
"93","VID_15367",2,"635882","1048","126","589","E",417,752
"94","VID_14900",2,"578880","1434","205","173","D",508,657
"95","VID_11543",1,"141023","154","44","16","D",275,1203
"96","VID_5048",1,"1208415","2082","202","120","D",161,2691
"97","VID_16781",1,"5993","11","2","1","E",40,915
"98","VID_10543",6,"1908671","675","448","71","D",115,557
"99","VID_21411",124,"609442","6698","349","724","G",251,783
"100","VID_21565",1,"569870","730","63","69","G",250,2465
"101","VID_4509",11,"335120","327","125","28","D",76,581
"102","VID_10868",3291,"4351","56","1","18","D",193,367
"103","VID_4508",1,"424331","166","80","6","D",96,618
"104","VID_15232",1,"845994","4212","251","736","E",184,983
"105","VID_10539",14,"921464","430","343","F","D",106,595
"106","VID_21414",19,"598434","4851","1170","1243","G",346,2010
"107","VID_996",4,"184429","1136","175","625","B",435,540
"108","VID_6494",1,"321059","1373","119","544","D",395,554
"109","VID_20724",1,"4609","67","7","60","G",312,1560
