"","ad.vidid","ad_view"
"1","VID_1054",68
"2","VID_18629",77
"3","VID_13967",62
"4","VID_19442",45
"5","VID_770",73
"6","VID_10315",42
"7","VID_7417",16
"8","VID_17788",20
"9","VID_14591",50
"10","VID_1228",71
"11","VID_10153",25
"12","VID_5667",10
"13","VID_22775",46
"14","VID_8353",80
"15","VID_486",14
"16","VID_17460",51
"17","VID_5867",48
"18","VID_15951",-2
"19","VID_14890",25
"20","VID_7219",23
"21","VID_20045",30
"22","VID_11874",59
"23","VID_1208",68
"24","VID_4529",55
"25","VID_6793",55
"26","VID_18254",49
"27","VID_11155",75
"28","VID_12257",68
"29","VID_4207",36
"30","VID_23276",18
"31","VID_18261",36
"32","VID_11536",78
"33","VID_6429",63
"34","VID_9277",73
"35","VID_517",59
"36","VID_11291",44
"37","VID_11265",54
"38","VID_632",76
"39","VID_13587",23
"40","VID_16439",79
"41","VID_14888",70
"42","VID_3207",11
"43","VID_9352",34
"44","VID_3286",5
"45","VID_19592",61
"46","VID_15582",27
"47","VID_15269",18
"48","VID_5703",20
"49","VID_22315",46
"50","VID_14939",22
"51","VID_18277",77
"52","VID_1684",64
"53","VID_14842",34
"54","VID_635",27
"55","VID_19621",40
"56","VID_2006",25
"57","VID_2427",12
"58","VID_3232",14
"59","VID_17944",23
"60","VID_19507",56
"61","VID_6745",24
"62","VID_8446",79
"63","VID_17593",61
"64","VID_21611",35
"65","VID_16242",22
"66","VID_23409",79
"67","VID_22950",49
"68","VID_15401",47
"69","VID_7634",61
"70","VID_4283",30
"71","VID_20020",80
"72","VID_13334",43
"73","VID_17504",27
"74","VID_22854",24
"75","VID_4396",60
"76","VID_7426",52
"77","VID_1941",27
"78","VID_22447",33
"79","VID_13156",48
"80","VID_6361",40
"81","VID_1601",21
"82","VID_5787",19
"83","VID_15044",75
"84","VID_18511",61
"85","VID_17965",44
"86","VID_20023",57
"87","VID_20294",73
"88","VID_4284",39
"89","VID_6333",12
"90","VID_4459",66
"91","VID_7896",80
"92","VID_14003",69
"93","VID_22518",23
"94","VID_12272",45
"95","VID_1002",12
"96","VID_2801",24
"97","VID_85",46
"98","VID_17535",6
"99","VID_16710",32
"100","VID_7899",34
"101","VID_3336",51
"102","VID_966",30
"103","VID_15920",70
"104","VID_9048",33
"105","VID_10819",47
"106","VID_9004",46
"107","VID_8038",78
"108","VID_22273",-3
"109","VID_9597",75
"110","VID_405",53
"111","VID_6857",30
"112","VID_745",19
"113","VID_22181",73
"114","VID_2452",56
"115","VID_16534",-23
"116","VID_8504",79
"117","VID_6211",42
"118","VID_7421",35
"119","VID_19004",23
"120","VID_21560",77
"121","VID_6904",9
"122","VID_10068",27
"123","VID_3831",63
"124","VID_523",60
"125","VID_21181",28
"126","VID_9556",75
"127","VID_1140",72
"128","VID_18078",32
"129","VID_13326",29
"130","VID_21883",50
"131","VID_18044",19
"132","VID_11715",50
"133","VID_7741",10
"134","VID_23167",39
"135","VID_4147",44
"136","VID_12377",16
"137","VID_16014",-20
"138","VID_21928",32
"139","VID_22002",24
"140","VID_19194",53
"141","VID_17892",58
"142","VID_19234",18
"143","VID_1790",49
"144","VID_7878",11
"145","VID_6945",73
"146","VID_17600",65
"147","VID_7502",4
"148","VID_11761",78
"149","VID_578",33
"150","VID_2068",52
"151","VID_10591",-2
"152","VID_1300",54
"153","VID_2950",51
"154","VID_12930",58
"155","VID_22247",48
"156","VID_4330",55
"157","VID_14398",68
"158","VID_8506",77
"159","VID_12462",56
"160","VID_21697",79
"161","VID_14574",10
"162","VID_14171",-20
"163","VID_22620",-3
"164","VID_5642",44
"165","VID_12689",60
"166","VID_3676",13
"167","VID_23515",68
"168","VID_11336",81
"169","VID_8360",14
"170","VID_14293",27
"171","VID_7088",-41
"172","VID_11588",16
"173","VID_12193",28
"174","VID_18944",17
"175","VID_14220",63
"176","VID_2589",57
"177","VID_17644",-2
"178","VID_20263",6
"179","VID_15204",61
"180","VID_6855",15
"181","VID_19306",38
"182","VID_20132",27
"183","VID_18477",19
"184","VID_4562",44
"185","VID_17001",60
"186","VID_6858",59
"187","VID_20250",59
"188","VID_22484",40
"189","VID_2358",14
"190","VID_17132",64
"191","VID_19635",30
"192","VID_20188",60
"193","VID_1272",47
"194","VID_2390",11
"195","VID_10914",-2
"196","VID_9647",75
"197","VID_11219",19
"198","VID_13260",58
"199","VID_21600",16
"200","VID_12441",46
"201","VID_15261",27
"202","VID_11540",55
"203","VID_20101",68
"204","VID_3909",80
"205","VID_14409",73
"206","VID_10430",14
"207","VID_8148",67
"208","VID_9579",75
"209","VID_12302",57
"210","VID_7161",28
"211","VID_17471",70
"212","VID_13296",54
"213","VID_1935",20
"214","VID_23277",5
"215","VID_20389",34
"216","VID_2988",76
"217","VID_5453",27
"218","VID_6553",42
"219","VID_18356",74
"220","VID_15268",48
"221","VID_21503",23
"222","VID_6901",42
"223","VID_5796",26
"224","VID_21475",29
"225","VID_19600",78
"226","VID_7977",45
"227","VID_4704",53
"228","VID_20858",63
"229","VID_23644",22
"230","VID_12962",76
"231","VID_4894",53
"232","VID_4803",70
"233","VID_8408",3
"234","VID_12226",39
"235","VID_1299",46
"236","VID_7721",66
"237","VID_1919",67
"238","VID_23316",21
"239","VID_17849",41
"240","VID_1313",54
"241","VID_9117",19
"242","VID_9152",76
"243","VID_15543",-19
"244","VID_11505",20
"245","VID_647",69
"246","VID_2236",60
"247","VID_14118",33
"248","VID_1225",62
"249","VID_11257",41
"250","VID_13130",48
"251","VID_12580",31
"252","VID_860",34
"253","VID_14251",36
"254","VID_6476",17
"255","VID_13070",3
"256","VID_4623",78
"257","VID_13599",14
"258","VID_11705",34
"259","VID_11736",5
"260","VID_14145",67
"261","VID_13264",75
"262","VID_10476",59
"263","VID_22755",77
"264","VID_13294",25
"265","VID_964",29
"266","VID_23498",55
"267","VID_12090",64
"268","VID_7494",62
"269","VID_141",68
"270","VID_242",68
"271","VID_8088",27
"272","VID_10154",31
